Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772743786,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772743787,50,POST,/api/order,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,35,35,140.0,153.94700946552413,122.3068400286138,215.80036729574203,555.5714285714286
1772743787,50,POST,/api/restock,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,15,15,140.0,179.92645374809703,108.80524711683393,268.3359868824482,556.2
1772743787,50,POST,/api/restock [setup],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,35,35,200.0,181.1116072083158,93.08722987771034,242.55682434886694,555.7428571428571
1772743787,50,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,85,85,150.0,169.71703988006885,93.08722987771034,268.3359868824482,555.7529411764706
1772743788,100,POST,/api/order,0.000000,0.000000,170,190,200,210,210,220,240,240,240,240,240,81,81,160.0,149.98898343585523,11.122624855488539,235.26989296078682,556.0370370370371
1772743788,100,POST,/api/restock,0.000000,0.000000,250,260,260,260,270,270,270,270,270,270,270,30,30,250.0,216.98180711828172,108.80524711683393,272.39323733374476,555.6
1772743788,100,POST,/api/restock [setup],0.000000,0.000000,200,210,220,220,230,230,230,230,230,230,230,70,70,200.0,182.4267684348992,93.08722987771034,242.55682434886694,555.5714285714286
1772743788,100,,Aggregated,0.000000,0.000000,200,210,220,230,250,260,270,270,270,270,270,181,181,180.0,173.63776609003133,11.122624855488539,272.39323733374476,555.7845303867404
1772743789,100,POST,/api/order,35.000000,35.000000,30,170,180,200,210,220,220,240,240,240,240,110,110,140.0,115.50787100991742,11.122624855488539,235.26989296078682,555.9454545454546
1772743789,100,POST,/api/restock,15.000000,15.000000,250,260,260,260,270,270,270,270,270,270,270,34,34,240.0,193.5644569560228,14.947113115340471,272.39323733374476,555.6470588235294
1772743789,100,POST,/api/restock [setup],35.000000,35.000000,200,210,220,220,230,230,230,230,230,230,230,70,70,200.0,182.4267684348992,93.08722987771034,242.55682434886694,555.5714285714286
1772743789,100,,Aggregated,85.000000,85.000000,160,200,210,220,240,260,260,270,270,270,270,214,214,160.0,149.79874363569456,11.122624855488539,272.39323733374476,555.7757009345794
1772743790,100,POST,/api/order,39.000000,39.000000,21,33,160,170,200,210,220,220,240,240,240,147,147,33,91.35939472602034,11.122624855488539,235.26989296078682,555.9387755102041
1772743790,100,POST,/api/restock,15.000000,15.000000,35,250,250,260,260,270,270,270,270,270,270,47,47,140.0,145.29880513734324,14.661284163594246,272.39323733374476,555.8085106382979
1772743790,100,POST,/api/restock [setup],35.000000,35.000000,200,210,220,220,230,230,230,230,230,230,230,70,70,200.0,182.4267684348992,93.08722987771034,242.55682434886694,555.5714285714286
1772743790,100,,Aggregated,89.000000,89.000000,33,170,200,210,230,250,260,270,270,270,270,264,264,140.0,125.10889642660253,11.122624855488539,272.39323733374476,555.8181818181819
1772743791,100,POST,/api/order,33.666667,33.666667,18,23,38,160,200,210,220,220,240,240,240,184,184,22,76.59281358760579,11.122624855488539,235.26989296078682,555.8695652173913
1772743791,100,POST,/api/restock,10.333333,10.333333,20,240,250,250,260,270,270,270,270,270,270,55,55,120.0,126.75967379049821,14.354572165757418,272.39323733374476,555.7272727272727
1772743791,100,POST,/api/restock [setup],23.333333,23.333333,200,210,220,220,230,230,230,230,230,230,230,70,70,200.0,182.4267684348992,93.08722987771034,242.55682434886694,555.5714285714286
1772743791,100,,Aggregated,67.333333,67.333333,22,150,170,200,220,250,260,260,270,270,270,309,309,120.0,109.49751957618062,11.122624855488539,272.39323733374476,555.7766990291262
1772743792,100,POST,/api/order,35.000000,35.000000,18,22,27,45,180,210,220,220,240,240,240,219,219,20,67.18996058315992,11.122624855488539,235.26989296078682,555.9589041095891
1772743792,100,POST,/api/restock,10.750000,10.750000,19,240,250,250,260,260,270,270,270,270,270,59,59,110.0,119.41591440305366,14.354572165757418,272.39323733374476,555.7457627118644
1772743792,100,POST,/api/restock [setup],17.500000,17.500000,200,210,220,220,230,230,230,230,230,230,230,70,70,200.0,182.4267684348992,93.08722987771034,242.55682434886694,555.5714285714286
1772743792,100,,Aggregated,63.250000,63.250000,20,33,160,180,220,240,260,260,270,270,270,348,348,33,99.22417847107796,11.122624855488539,272.39323733374476,555.8448275862069
1772743793,100,POST,/api/order,35.200000,35.200000,17,20,23,28,170,210,210,220,240,240,240,255,255,18,59.89889794704961,11.122624855488539,235.26989296078682,555.9882352941177
1772743793,100,POST,/api/restock,10.600000,10.600000,19,25,240,250,260,260,270,270,270,270,270,66,66,24,108.48949008593054,12.967464048415422,272.39323733374476,555.9090909090909
1772743793,100,POST,/api/restock [setup],14.000000,14.000000,200,210,220,220,230,230,230,230,230,230,230,70,70,200.0,182.4267684348992,93.08722987771034,242.55682434886694,555.5714285714286
1772743793,100,,Aggregated,59.800000,59.800000,18,24,150,160,210,240,260,260,270,270,270,391,391,23,90.03682637496678,11.122624855488539,272.39323733374476,555.9002557544757
1772743794,100,POST,/api/order,35.000000,35.000000,17,20,23,25,170,200,210,220,240,240,240,287,287,18,55.157152856359396,11.122624855488539,235.26989296078682,556.0313588850174
1772743794,100,POST,/api/restock,9.666667,9.666667,19,24,35,240,260,260,270,270,270,270,270,77,77,21,95.66510778355908,12.967464048415422,272.39323733374476,555.961038961039
1772743794,100,POST,/api/restock [setup],11.666667,11.666667,200,210,220,220,230,230,230,230,230,230,230,70,70,200.0,182.4267684348992,93.08722987771034,242.55682434886694,555.5714285714286
1772743794,100,,Aggregated,56.333333,56.333333,18,23,38,160,210,230,260,260,270,270,270,434,434,21,82.87140543675608,11.122624855488539,272.39323733374476,555.9447004608295
1772743795,100,POST,/api/order,34.714286,34.714286,17,20,22,24,160,200,210,220,240,240,240,320,320,18,51.2811655542464,11.122624855488539,235.26989296078682,556.0
1772743795,100,POST,/api/restock,9.428571,9.428571,18,20,26,240,250,260,270,270,270,270,270,87,87,19,86.48397666990928,12.655651196837425,272.39323733374476,555.8275862068965
1772743795,100,POST,/api/restock [setup],10.000000,10.000000,200,210,220,220,230,230,230,230,230,230,230,70,70,200.0,182.4267684348992,93.08722987771034,242.55682434886694,555.5714285714286
1772743795,100,,Aggregated,54.142857,54.142857,18,22,27,140,200,230,250,260,270,270,270,477,477,20,76.94749001694738,11.122624855488539,272.39323733374476,555.9056603773585
1772743796,100,POST,/api/order,34.625000,34.625000,17,19,21,23,160,180,210,220,240,240,240,358,358,18,47.68542971009357,11.122624855488539,235.26989296078682,556.0502793296089
1772743796,100,POST,/api/restock,9.250000,9.250000,18,20,25,35,250,260,270,270,270,270,270,92,92,19,82.81218879046324,12.655651196837425,272.39323733374476,555.7391304347826
1772743796,100,POST,/api/restock [setup],8.750000,8.750000,200,210,220,220,230,230,230,230,230,230,230,70,70,200.0,182.4267684348992,93.08722987771034,242.55682434886694,555.5714285714286
1772743796,100,,Aggregated,52.625000,52.625000,18,21,25,45,200,220,250,260,270,270,270,520,520,19,72.03842114495973,11.122624855488539,272.39323733374476,555.9307692307692
1772743797,100,POST,/api/order,35.111111,35.111111,17,18,20,21,24,27,29,31,38,38,38,392,392,18,45.29901895177912,11.122624855488539,235.26989296078682,556.0918367346939
1772743797,100,POST,/api/restock,9.555556,9.555556,17,18,19,20,24,26,29,35,35,35,35,100,100,19,77.60753102600574,12.655651196837425,272.39323733374476,555.82
1772743797,100,POST,/api/restock [setup],7.777778,7.777778,200,210,220,220,230,230,230,230,230,230,230,70,70,200.0,182.4267684348992,93.08722987771034,242.55682434886694,555.5714285714286
1772743797,100,,Aggregated,52.444444,52.444444,17,18,20,21,24,26,29,32,38,38,38,562,562,19,68.12783331341802,11.122624855488539,272.39323733374476,555.9786476868327
1772743798,100,POST,/api/order,34.300000,34.300000,17,18,20,21,24,26,28,31,38,38,38,420,420,18,43.444239066558936,11.122624855488539,235.26989296078682,556.0714285714286
1772743798,100,POST,/api/restock,9.000000,9.000000,17,19,20,21,24,26,35,36,36,36,36,113,113,19,71.15576647024238,12.655651196837425,272.39323733374476,555.7610619469026
1772743798,100,POST,/api/restock [setup],7.000000,7.000000,200,210,220,220,230,230,230,230,230,230,230,70,70,200.0,182.4267684348992,93.08722987771034,242.55682434886694,555.5714285714286
1772743798,100,,Aggregated,50.300000,50.300000,17,18,20,21,24,26,29,32,38,38,38,603,603,19,64.77123683173315,11.122624855488539,272.39323733374476,555.955223880597
1772743799,100,POST,/api/order,34.600000,34.600000,17,18,20,20,24,26,28,30,40,40,40,459,459,18,41.389297289177286,11.122624855488539,235.26989296078682,556.0326797385621
1772743799,100,POST,/api/restock,8.300000,8.300000,17,18,19,21,24,26,29,36,36,36,36,122,122,19,67.04753904878238,11.75836380571127,272.39323733374476,555.8032786885246
1772743799,100,POST,/api/restock [setup],3.500000,3.500000,200,210,220,220,230,230,230,230,230,230,230,70,70,200.0,182.4267684348992,93.08722987771034,242.55682434886694,555.5714285714286
1772743799,100,,Aggregated,46.400000,46.400000,17,18,19,21,24,26,28,31,40,40,40,651,651,19,61.36307374827461,11.122624855488539,272.39323733374476,555.9400921658986
1772743800,100,POST,/api/order,33.300000,33.300000,17,18,20,21,24,27,28,30,40,40,40,490,490,17,39.89384835585952,11.122624855488539,235.26989296078682,556.0857142857143
1772743800,100,POST,/api/restock,8.000000,8.000000,17,19,20,22,24,26,29,36,36,36,36,125,125,19,65.88018287345767,11.75836380571127,272.39323733374476,555.832
1772743800,100,POST,/api/restock [setup],0.000000,0.000000,200,210,220,220,230,230,230,230,230,230,230,70,70,200.0,182.4267684348992,93.08722987771034,242.55682434886694,555.5714285714286
1772743800,100,,Aggregated,41.300000,41.300000,17,18,20,21,24,26,28,31,40,40,40,685,685,18,59.201288093425276,11.122624855488539,272.39323733374476,555.9868613138686
1772743801,100,POST,/api/order,34.800000,34.800000,16,18,20,21,25,27,30,34,46,46,46,528,528,17,38.39010910826001,11.122624855488539,235.26989296078682,556.1590909090909
1772743801,100,POST,/api/restock,9.000000,9.000000,17,19,21,22,25,27,36,46,46,46,46,138,138,18,61.56120580567074,11.75836380571127,272.39323733374476,555.9565217391304
1772743801,100,POST,/api/restock [setup],0.000000,0.000000,200,210,220,220,230,230,230,230,230,230,230,70,70,200.0,182.4267684348992,93.08722987771034,242.55682434886694,555.5714285714286
