Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772743665,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1772743666,10,POST,/api/order,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,7,7,49,48.31848260281341,32.67689701169729,65.53304195404053,556.4285714285714
1772743666,10,POST,/api/restock,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,3,77,77.94273768862088,69.89442696794868,87.2029010206461,555.0
1772743666,10,POST,/api/restock [setup],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,7,7,61,57.2946130165032,36.31462901830673,82.72444317117333,555.5714285714286
1772743666,10,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,17,17,57,57.24234602359288,32.67689701169729,87.2029010206461,555.8235294117648
1772743667,20,POST,/api/order,0.000000,0.000000,37,41,51,73,76,76,76,76,76,76,76,16,16,41,45.48244993202388,15.265938360244036,76.2731060385704,557.125
1772743667,20,POST,/api/restock,0.000000,0.000000,110,110,110,110,110,110,110,110,110,110,110,6,6,87,91.30418463610113,69.89442696794868,109.18722674250603,556.0
1772743667,20,POST,/api/restock [setup],0.000000,0.000000,88,89,92,92,95,95,95,95,95,95,95,14,14,61,65.81827855136778,36.31462901830673,94.71365576609969,555.1428571428571
1772743667,20,,Aggregated,0.000000,0.000000,70,88,92,95,110,110,110,110,110,110,110,36,36,57,61.02778351244827,15.265938360244036,109.18722674250603,556.1666666666666
1772743668,30,POST,/api/order,7.000000,7.000000,47,51,53,53,59,73,76,76,76,76,76,29,29,47,43.213111412679325,13.961706776171923,76.2731060385704,556.7241379310345
1772743668,30,POST,/api/restock,3.000000,3.000000,82,99,110,110,110,110,110,110,110,110,110,10,10,77,79.50035477988422,23.72020808979869,109.18722674250603,554.8
1772743668,30,POST,/api/restock [setup],7.000000,7.000000,63,70,88,89,92,95,95,95,95,95,95,21,21,61,62.692192272238785,36.31462901830673,94.71365576609969,555.2857142857143
1772743668,30,,Aggregated,17.000000,17.000000,53,63,73,76,92,99,110,110,110,110,110,60,60,53,56.07866360805929,13.961706776171923,109.18722674250603,555.9
1772743669,40,POST,/api/order,7.000000,7.000000,40,50,52,53,65,76,80,80,80,80,80,46,46,41,40.213958340008624,12.83372612670064,79.83041275292635,556.7826086956521
1772743669,40,POST,/api/restock,3.000000,3.000000,77,82,99,110,110,110,110,110,110,110,110,13,13,77,77.13714195415378,23.72020808979869,109.18722674250603,555.3076923076923
1772743669,40,POST,/api/restock [setup],7.000000,7.000000,63,66,82,85,89,92,95,95,95,95,95,28,28,61,62.92083575057664,36.31462901830673,94.71365576609969,555.1428571428571
1772743669,40,,Aggregated,17.000000,17.000000,52,63,68,73,88,95,110,110,110,110,110,87,87,52,53.03917620759243,12.83372612670064,109.18722674250603,556.0344827586207
1772743670,50,POST,/api/order,8.666667,8.666667,34,47,52,54,80,98,100,110,110,110,110,70,70,35,39.898781325402005,12.83372612670064,105.42833805084229,556.3428571428572
1772743670,50,POST,/api/restock,3.000000,3.000000,77,99,110,110,110,110,110,110,110,110,110,20,20,77,73.80135427229106,15.845404006540775,113.60355699434876,555.4
1772743670,50,POST,/api/restock [setup],7.000000,7.000000,70,83,88,89,95,150,160,160,160,160,160,35,35,63,71.11253566773874,36.31462901830673,156.81199030950665,555.2285714285714
1772743670,50,,Aggregated,18.666667,18.666667,51,65,80,85,99,110,110,150,160,160,160,125,125,51,54.06304421275854,12.83372612670064,156.81199030950665,555.88
1772743671,50,POST,/api/order,10.500000,10.500000,26,39,47,52,73,97,100,110,110,110,110,88,88,31,36.77866145947271,12.83372612670064,105.42833805084229,556.3409090909091
1772743671,50,POST,/api/restock,3.250000,3.250000,73,91,110,110,110,110,110,110,110,110,110,23,23,73,66.52388389667739,15.845404006540775,113.60355699434876,555.6086956521739
1772743671,50,POST,/api/restock [setup],7.000000,7.000000,70,83,88,89,95,150,160,160,160,160,160,35,35,63,71.11253566773874,36.31462901830673,156.81199030950665,555.2285714285714
1772743671,50,,Aggregated,20.750000,20.750000,41,59,70,82,97,110,110,150,160,160,160,146,146,44,49.69527593443859,12.83372612670064,156.81199030950665,555.9589041095891
1772743672,50,POST,/api/order,11.000000,11.000000,20,36,41,50,65,97,100,110,110,110,110,104,104,23,33.72515009966894,12.83372612670064,105.42833805084229,556.3461538461538
1772743672,50,POST,/api/restock,3.400000,3.400000,68,82,99,110,110,110,110,110,110,110,110,26,26,69,60.9791436805748,14.661714900285006,113.60355699434876,555.7692307692307
1772743672,50,POST,/api/restock [setup],7.000000,7.000000,70,83,88,89,95,150,160,160,160,160,160,35,35,63,71.11253566773874,36.31462901830673,156.81199030950665,555.2285714285714
1772743672,50,,Aggregated,21.400000,21.400000,36,53,65,76,95,110,110,150,160,160,160,165,165,39,45.95037632988709,12.83372612670064,156.81199030950665,556.0181818181818
1772743673,50,POST,/api/order,12.000000,12.000000,18,26,38,44,59,97,100,100,110,110,110,121,121,20,31.349807927646665,12.83372612670064,105.42833805084229,556.1735537190083
1772743673,50,POST,/api/restock,3.333333,3.333333,33,73,91,99,110,110,110,110,110,110,110,30,30,63,55.80879538320005,14.661714900285006,113.60355699434876,555.8
1772743673,50,POST,/api/restock [setup],5.833333,5.833333,70,83,88,89,95,150,160,160,160,160,160,35,35,63,71.11253566773874,36.31462901830673,156.81199030950665,555.2285714285714
1772743673,50,,Aggregated,21.166667,21.166667,25,47,59,69,92,100,110,150,160,160,160,186,186,33,42.77703961888228,12.83372612670064,156.81199030950665,555.9354838709677
1772743674,50,POST,/api/order,13.285714,13.285714,18,25,36,39,53,80,100,100,110,110,110,138,138,19,29.95920074644728,12.83372612670064,105.42833805084229,556.304347826087
1772743674,50,POST,/api/restock,3.285714,3.285714,24,69,82,91,110,110,110,110,110,110,110,34,34,25,51.55183561146259,14.661714900285006,113.60355699434876,556.0
1772743674,50,POST,/api/restock [setup],5.000000,5.000000,70,83,88,89,95,150,160,160,160,160,160,35,35,63,71.11253566773874,36.31462901830673,156.81199030950665,555.2285714285714
1772743674,50,,Aggregated,21.571429,21.571429,22,41,54,63,89,100,110,150,160,160,160,207,207,25,40.464110445267195,12.83372612670064,156.81199030950665,556.072463768116
1772743675,50,POST,/api/order,13.500000,13.500000,18,22,31,37,52,76,98,100,110,110,110,160,160,18,28.44867291569244,12.83372612670064,105.42833805084229,556.0375
1772743675,50,POST,/api/restock,3.500000,3.500000,20,63,73,82,110,110,110,110,110,110,110,40,40,22,46.25953295035288,14.661714900285006,113.60355699434876,556.0
1772743675,50,POST,/api/restock [setup],4.375000,4.375000,70,83,88,89,95,150,160,160,160,160,160,35,35,63,71.11253566773874,36.31462901830673,156.81199030950665,555.2285714285714
1772743675,50,,Aggregated,21.375000,21.375000,20,36,51,59,85,99,110,110,160,160,160,235,235,22,37.83450099104579,12.83372612670064,156.81199030950665,555.9106382978723
1772743676,50,POST,/api/order,14.444444,14.444444,18,20,25,30,50,59,98,100,110,110,110,176,176,18,27.543928238711405,12.83372612670064,105.42833805084229,556.0
1772743676,50,POST,/api/restock,3.333333,3.333333,20,25,68,73,91,110,110,110,110,110,110,41,41,22,45.50222653850186,14.661714900285006,113.60355699434876,556.0731707317074
1772743676,50,POST,/api/restock [setup],3.888889,3.888889,63,82,83,85,92,150,160,160,160,160,160,35,35,63,71.11253566773874,36.31462901830673,156.81199030950665,555.2285714285714
1772743676,50,,Aggregated,21.666667,21.666667,19,25,39,51,77,97,110,110,160,160,160,252,252,20,36.516910343105714,12.83372612670064,156.81199030950665,555.9047619047619
1772743677,50,POST,/api/order,14.200000,14.200000,17,19,23,26,38,59,98,100,110,110,110,189,189,18,27.034679846591736,12.83372612670064,105.42833805084229,556.047619047619
1772743677,50,POST,/api/restock,3.500000,3.500000,18,20,25,52,91,110,110,110,110,110,110,49,49,20,41.626972260371765,14.661714900285006,113.60355699434876,555.9387755102041
1772743677,50,POST,/api/restock [setup],3.500000,3.500000,82,85,85,92,150,160,160,160,160,160,160,35,35,63,71.11253566773874,36.31462901830673,156.81199030950665,555.2285714285714
1772743677,50,,Aggregated,21.200000,21.200000,18,21,26,34,68,97,110,110,160,160,160,273,273,20,35.30481641075059,12.83372612670064,156.81199030950665,555.9230769230769
1772743678,50,POST,/api/order,15.500000,15.500000,17,19,20,22,30,39,98,100,110,110,110,206,206,18,26.214556483714617,12.83372612670064,105.42833805084229,556.0291262135922
1772743678,50,POST,/api/restock,3.800000,3.800000,17,20,20,24,91,110,110,110,110,110,110,51,51,20,40.740650621991534,14.661714900285006,113.60355699434876,555.9411764705883
1772743678,50,POST,/api/restock [setup],2.800000,2.800000,85,92,150,150,160,160,160,160,160,160,160,35,35,63,71.11253566773874,36.31462901830673,156.81199030950665,555.2285714285714
