Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775188916,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775188917,50,POST,/api/order,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,7,7,170,173.43293968588114,165.9101452678442,178.6880809813738,0.0
1775188917,50,POST,/api/restock,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,12,12,190,189.186402130872,179.66543976217508,202.45531387627125,0.0
1775188917,50,POST,/api/restock [setup],0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,21,21,220,225.22622382357008,198.7559236586094,370.32976746559143,0.0
1775188917,50,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,40,40,200,205.3504525916651,165.9101452678442,370.32976746559143,0.0
1775188918,100,POST,/api/order,0.000000,0.000000,180,180,180,180,180,180,180,180,180,180,180,14,14,170,175.01263998981034,165.9101452678442,183.7793653830886,0.0
1775188918,100,POST,/api/restock,0.000000,0.000000,190,210,220,220,220,220,220,220,220,220,220,27,27,190,194.84798765430847,176.82591918855906,217.06184837967157,0.0
1775188918,100,POST,/api/restock [setup],0.000000,0.000000,220,220,220,220,220,220,220,220,220,220,220,40,40,220,220.69589181337506,198.7559236586094,370.32976746559143,0.0
1775188918,100,,Aggregated,0.000000,0.000000,220,220,220,220,220,220,220,220,220,220,220,81,81,200,204.18405307479847,165.9101452678442,370.32976746559143,0.0
1775188919,100,POST,/api/order,0.000000,0.000000,180,180,180,180,180,180,180,180,180,180,180,14,14,170,175.01263998981034,165.9101452678442,183.7793653830886,0.0
1775188919,100,POST,/api/restock,0.000000,0.000000,190,210,220,220,220,220,220,220,220,220,220,27,27,190,194.84798765430847,176.82591918855906,217.06184837967157,0.0
1775188919,100,POST,/api/restock [setup],0.000000,0.000000,220,220,220,220,220,220,220,220,220,220,220,40,40,220,220.69589181337506,198.7559236586094,370.32976746559143,0.0
